record - header - datestamp,record - metadata - oai_dc:dc - dc:identifier,record - metadata - oai_dc:dc - dc:source,record - metadata - oai_dc:dc - dc:language,record - metadata - oai_dc:dc - dc:title - xml:lang,record - metadata - oai_dc:dc - dc:title,record - metadata - oai_dc:dc - dc:format,record - metadata - oai_dc:dc - dc:subject - xml:lang,record - metadata - oai_dc:dc - dc:subject,record - metadata - oai_dc:dc - dc:publisher,record - metadata - oai_dc:dc - dc:type,record - metadata - oai_dc:dc - dc:creator,record - metadata - oai_dc:dc - dc:coverage,record - metadata - oai_dc:dc - dc:description,record - metadata - oai_dc:dc - dc:description - xml:lang,record - metadata - oai_dc:dc - dc:rights,record - metadata - oai_dc:dc - dc:relation,record - header - identifier
,GEWISS_T_PG_DE_127.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_DE_131.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_DE_131.cmdi
,GEWISS_T_PG_DE_131.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_DE_132.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_DE_132.cmdi
,GEWISS_T_PG_DE_132.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_PL_027.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_027.cmdi
,GEWISS_T_PG_PL_027.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_PL_028.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_028.cmdi
,GEWISS_T_PG_PL_028.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_PL_029.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_029.cmdi
,GEWISS_T_PG_PL_029.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_PL_030.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_030.cmdi
,GEWISS_T_PG_PL_030.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_PL_031.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_031.cmdi
,GEWISS_T_PG_PL_031.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_PL_032.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_032.cmdi
,GEWISS_T_PG_PL_032.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_PL_034.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_034.cmdi
,GEWISS_T_PG_PL_034.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_PL_035.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_035.cmdi
,GEWISS_T_PG_PL_035.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_PL_036.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_036.cmdi
,GEWISS_T_PG_PL_036.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_PL_037.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_037.cmdi
,GEWISS_T_PG_PL_037.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_PL_051.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_051.cmdi
,GEWISS_T_PG_PL_051.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_PL_052.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_052.cmdi
,GEWISS_T_PG_PL_052.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_PL_053.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_053.cmdi
,GEWISS_T_PG_PL_053.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_PL_054.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_054.cmdi
,GEWISS_T_PG_PL_054.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_PL_055.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_055.cmdi
,GEWISS_T_PG_PL_055.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_PL_056.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_056.cmdi
,GEWISS_T_PG_PL_056.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_PL_057.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_057.cmdi
,GEWISS_T_PG_PL_057.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_PL_058.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_058.cmdi
,GEWISS_T_PG_PL_058.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_PL_059.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_059.cmdi
,GEWISS_T_PG_PL_059.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_PL_061.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_061.cmdi
,GEWISS_T_PG_PL_061.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_PL_038.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_038.cmdi
,GEWISS_T_PG_PL_038.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_PL_039.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_039.cmdi
,GEWISS_T_PG_PL_039.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_PL_040.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_040.cmdi
,GEWISS_T_PG_PL_040.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_PL_041.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_041.cmdi
,GEWISS_T_PG_PL_041.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_PL_042.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_042.cmdi
,GEWISS_T_PG_PL_042.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_PL_043.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_043.cmdi
,GEWISS_T_PG_PL_043.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_PL_044.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_044.cmdi
,GEWISS_T_PG_PL_044.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_PL_045.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_045.cmdi
,GEWISS_T_PG_PL_045.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_PL_047.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_047.cmdi
,GEWISS_T_PG_PL_047.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_PL_050.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_050.cmdi
,GEWISS_T_PG_PL_050.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_PL_072.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_072.cmdi
,GEWISS_T_PG_PL_072.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_PL_075.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_075.cmdi
,GEWISS_T_PG_PL_075.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_PL_076.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_076.cmdi
,GEWISS_T_PG_PL_076.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_PL_077.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_077.cmdi
,GEWISS_T_PG_PL_077.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_PL_078.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_078.cmdi
,GEWISS_T_PG_PL_078.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_PL_079.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_079.cmdi
,GEWISS_T_PG_PL_079.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_PL_080.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_080.cmdi
,GEWISS_T_PG_PL_080.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_PL_081.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_081.cmdi
,GEWISS_T_PG_PL_081.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_PL_082.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_082.cmdi
,GEWISS_T_PG_PL_082.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:58Z,clarin-ids:gewiss.GEWISS_T_PG_PL_086.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_086.cmdi
,GEWISS_T_PG_PL_086.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_PL_217.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_217.cmdi
,GEWISS_T_PG_PL_217.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_PL_218.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_218.cmdi
,GEWISS_T_PG_PL_218.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_PL_219.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_219.cmdi
,GEWISS_T_PG_PL_219.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_PL_220.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_220.cmdi
,GEWISS_T_PG_PL_220.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_PL_221.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_221.cmdi
,GEWISS_T_PG_PL_221.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_PL_222.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_222.cmdi
,GEWISS_T_PG_PL_222.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_PL_223.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_223.cmdi
,GEWISS_T_PG_PL_223.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_PL_224.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_224.cmdi
,GEWISS_T_PG_PL_224.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_PL_225.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_225.cmdi
,GEWISS_T_PG_PL_225.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_PL_226.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_226.cmdi
,GEWISS_T_PG_PL_226.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_PL_062.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_062.cmdi
,GEWISS_T_PG_PL_062.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_PL_063.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_063.cmdi
,GEWISS_T_PG_PL_063.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_PL_064.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_064.cmdi
,GEWISS_T_PG_PL_064.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_PL_065.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_065.cmdi
,GEWISS_T_PG_PL_065.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_PL_066.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_066.cmdi
,GEWISS_T_PG_PL_066.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_PL_067.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_067.cmdi
,GEWISS_T_PG_PL_067.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_PL_068.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_068.cmdi
,GEWISS_T_PG_PL_068.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_PL_069.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_069.cmdi
,GEWISS_T_PG_PL_069.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_PL_070.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_070.cmdi
,GEWISS_T_PG_PL_070.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_PL_071.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_071.cmdi
,GEWISS_T_PG_PL_071.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_PL_090.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_090.cmdi
,GEWISS_T_PG_PL_090.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_PL_110.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_110.cmdi
,GEWISS_T_PG_PL_110.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_PL_114.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_114.cmdi
,GEWISS_T_PG_PL_114.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_PL_120.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_120.cmdi
,GEWISS_T_PG_PL_120.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_PL_211.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_211.cmdi
,GEWISS_T_PG_PL_211.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_PL_212.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_212.cmdi
,GEWISS_T_PG_PL_212.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_PL_213.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_213.cmdi
,GEWISS_T_PG_PL_213.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_PL_214.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_214.cmdi
,GEWISS_T_PG_PL_214.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_PL_215.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_215.cmdi
,GEWISS_T_PG_PL_215.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_PL_216.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_216.cmdi
,GEWISS_T_PG_PL_216.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_PL_227.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_PL_227.cmdi
,GEWISS_T_PG_PL_227.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_UK_001.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_UK_001.cmdi
,GEWISS_T_PG_UK_001.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_UK_002.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_UK_002.cmdi
,GEWISS_T_PG_UK_002.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_UK_003.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_UK_003.cmdi
,GEWISS_T_PG_UK_003.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_UK_004.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_UK_004.cmdi
,GEWISS_T_PG_UK_004.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_UK_005.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_UK_005.cmdi
,GEWISS_T_PG_UK_005.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_UK_006.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_UK_006.cmdi
,GEWISS_T_PG_UK_006.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_UK_007.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_UK_007.cmdi
,GEWISS_T_PG_UK_007.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_UK_008.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_UK_008.cmdi
,GEWISS_T_PG_UK_008.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_UK_009.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_UK_009.cmdi
,GEWISS_T_PG_UK_009.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_UK_030.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_UK_030.cmdi
,GEWISS_T_PG_UK_030.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_UK_031.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_UK_031.cmdi
,GEWISS_T_PG_UK_031.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_UK_032.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_UK_032.cmdi
,GEWISS_T_PG_UK_032.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_UK_033.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_UK_033.cmdi
,GEWISS_T_PG_UK_033.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_UK_034.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_UK_034.cmdi
,GEWISS_T_PG_UK_034.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_UK_035.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_UK_035.cmdi
,GEWISS_T_PG_UK_035.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_UK_036.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_UK_036.cmdi
,GEWISS_T_PG_UK_036.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:59Z,clarin-ids:gewiss.GEWISS_T_PG_UK_037.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_T_PG_UK_037.cmdi
,GEWISS_T_PG_UK_037.cmdi,,,,,,,,,,,,,,,,
