record - header - datestamp,record - metadata - oai_dc:dc - dc:identifier,record - metadata - oai_dc:dc - dc:source,record - metadata - oai_dc:dc - dc:language,record - metadata - oai_dc:dc - dc:title - xml:lang,record - metadata - oai_dc:dc - dc:title,record - metadata - oai_dc:dc - dc:format,record - metadata - oai_dc:dc - dc:subject - xml:lang,record - metadata - oai_dc:dc - dc:subject,record - metadata - oai_dc:dc - dc:publisher,record - metadata - oai_dc:dc - dc:type,record - metadata - oai_dc:dc - dc:creator,record - metadata - oai_dc:dc - dc:coverage,record - metadata - oai_dc:dc - dc:description,record - metadata - oai_dc:dc - dc:description - xml:lang,record - metadata - oai_dc:dc - dc:rights,record - metadata - oai_dc:dc - dc:relation,record - header - identifier
,GEWISS_R_SV_UK_002.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:51Z,clarin-ids:gewiss.GEWISS_R_SV_UK_003.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_UK_003.cmdi
,GEWISS_R_SV_UK_003.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:51Z,clarin-ids:gewiss.GEWISS_R_SV_PL_016.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_PL_016.cmdi
,GEWISS_R_SV_PL_016.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:51Z,clarin-ids:gewiss.GEWISS_R_SV_PL_017.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_PL_017.cmdi
,GEWISS_R_SV_PL_017.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:51Z,clarin-ids:gewiss.GEWISS_R_SV_PL_018.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_PL_018.cmdi
,GEWISS_R_SV_PL_018.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:51Z,clarin-ids:gewiss.GEWISS_R_SV_PL_019.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_PL_019.cmdi
,GEWISS_R_SV_PL_019.cmdi,,,,,,,,,,,,,,,,
