Repositorium, Größe (Recordzahl), Datenvolumen (MB), Vollständig?
BAS, 28.10129,30, ja
BBAW, 5854, 7,99, ja
HZSK, 3399, 8,70, ja
IDS, 39.891, 71,40, ja
LAC, 100, 0,15, nein
SAW, 328, 0,13, ja
TextGrid, 98.957, 134,00, ja
UdS , 134, 0,33, ja
Worldviews , 327, 0,39, ja
