datestamp,relation,type,type - dcmi recommendation,title,creator,language,identifier,format,format - mediatype,format - subtype,date,description,source,publisher,rights,contributor,subject,record id,record - header - setSpec
,urn:cts:muqtabas:oclc.4770057679_i.62.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.63.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.64.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.65.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.66.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.67.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.68.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.69.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.7.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.70.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.71.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.72.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.73.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.74.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.75.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.76.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.77.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.78.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.79.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.8.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.80.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.81.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.82.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.83.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.84.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.85.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.86.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.87.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.88.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.89.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.9.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.90.TEIP5:,,,,,,,,,,,,,,,,,,
